20230119	11:55:51	a738c035-ce6c-4e4f-ba07-90c60a6f5260	POST	undefined	/register
20230119	12:08:09	b39c2c99-724b-45d2-a1d0-0c41d1c36688	POST	undefined	/auth
20230119	12:08:23	f74a6120-55c2-495c-8472-032c67dbdef3	POST	undefined	/auth
20230119	13:13:55	900fd667-7e56-4706-bf02-7b892a699897	POST	undefined	/auth
20230119	13:14:32	e4c62996-c91d-4143-8654-8f2405baacd6	POST	undefined	/register
20230119	13:14:38	4772be02-778f-42fd-855f-1ccec3d9f767	POST	undefined	/auth
20230119	13:15:16	4f626560-e5f3-4233-803f-54bcae8d37d3	POST	undefined	/auth
20230119	13:15:41	0072ec20-a89b-4d28-8062-55ee52d21c4b	POST	undefined	/auth
20230119	13:15:56	e3a446bd-187d-4bee-be2f-08ab30f8a8d5	POST	undefined	/auth
20230119	13:19:39	909c33cf-f5b4-4db5-aae1-1d319e0792c5	POST	undefined	/register
20230119	13:19:46	d222a5b8-1964-41eb-b4b9-8bcdf3586db6	POST	undefined	/auth
20230119	13:21:23	2ab329f9-a576-44cf-80f1-17afa824f800	POST	undefined	/auth
20230119	13:21:46	e621a0d2-e330-489a-8bdf-0f78d034769e	POST	undefined	/register
20230119	13:21:52	515c0e8e-ba5b-4cd5-b7c1-3ebf379acd4b	POST	undefined	/register
20230119	13:22:24	4947a7f4-1d5f-48aa-9612-eabbbd8f229a	POST	undefined	/auth
20230119	13:29:12	011cc1e2-401b-4acb-bf41-7792c983b36f	POST	undefined	/auth
20230119	13:31:04	5e5bfc23-7551-4e67-835f-46b36608659d	GET	undefined	/auth
20230119	13:32:32	d67aaebc-c3b6-43c0-9940-ec8957a495c2	POST	undefined	/register
20230119	13:34:32	f461cbe8-b6d3-4446-9601-d5fe69d29b6f	GET	undefined	/auth
20230119	13:48:47	83c2f8b0-361c-47ed-83a6-c85f64cee9fa	POST	undefined	/auth
20230119	13:50:42	5a83cb1a-70d6-442e-a156-0b4b28c03818	GET	undefined	/refresh
20230119	13:51:01	998a51a8-3793-44e7-a349-36d60e1cbe57	DELETE	undefined	/employees
20230119	13:51:07	a47a92e1-e28f-4e38-bb16-85466c54c3af	POST	undefined	/employees
20230119	13:51:17	429aeefc-fb93-4b4a-a499-e836e28aa35c	GET	undefined	/employees
20230119	13:51:56	a62b9247-ba5e-4869-95cb-c98f0ffc8cc5	POST	undefined	/employees
20230119	13:52:06	6e394a96-3527-4866-8138-f1b625ad3622	PUT	undefined	/employees
20230119	13:52:11	58b22894-3912-43eb-8177-9a46a2128f4b	GET	undefined	/employees/1
20230119	14:08:15	89189a98-76f5-4747-a6be-cbe92ebf3d33	POST	undefined	/register
20230119	14:08:48	7d799403-5ba4-4223-9e8b-aa39a68d1bfd	POST	undefined	/auth
20230119	14:09:20	bcdd75c6-68a0-4497-b4b9-60ec68da5a9e	GET	undefined	/auth
20230119	14:10:22	e2baf230-bf18-49a1-95c8-a3c121b11e8c	GET	undefined	/auth
20230119	14:19:02	90e5ef5a-3d4e-41b9-aaae-28c1811ce9cd	POST	undefined	/register
20230119	14:19:21	bc72a538-380f-41ff-a2af-600954b9289c	POST	undefined	/auth
20230119	14:19:36	5a70f2c1-9181-4ef6-9387-0ac14ceb1507	GET	undefined	/refresh
